iter,p1,p2,p3,error,accuracy,ms,acctmin,status,lberr,relgap
1,3,3,2,80,20,23.364013672,0.0003894,104,-5500,278.999999999
2,3,3,2,72,28,1784.458007812,0.030130367,104,-700,27.571428571
3,3,3,2,69,31,737.746826172,0.042426147,104,-617.482727096,22.1446041
4,3,3,2,64,36,818.462890625,0.056067196,104,-557.127521455,17.253542263
5,3,3,2,62,38,1963.557128906,0.088793148,104,-526.934511415,15.498276616
6,3,3,2,61,39,797862.029052734,13.386493632,104,-277.143152611,8.670337246
7,3,3,2,60,40,316138.007080078,18.655460417,104,-276.833555011,8.420838875
8,3,3,2,57,43,278621.473876953,23.299151648,104,-276.380316895,7.753030625
9,3,3,2,56,44,460445.802978516,30.973248364,104,-275.942710447,7.54415251
10,3,3,2,54,46,2233604.489990234,68.199989864,104,-268.366653275,7.007970723
11,3,3,2,52,48,70856.217041016,69.380926815,104,-268.191364056,6.670653418
12,3,3,2,51,49,430296.081054688,76.552528166,104,-267.975324274,6.509700495
13,3,3,2,50,50,139892.290039062,78.884066333,104,-267.498135184,6.349962704
14,3,3,2,49,51,188356.463867188,82.023340731,104,-267.006174534,6.196199501
15,3,3,2,49,51,7674316.599121094,209.928617383,111,-261.279772855,6.083917115