iter,j,jold,mselect,type
1,1,-1,1,cont
1,2,2,0,cat
1,3,3,0,cat
2,1,-1,1,cont
2,2,2,1,cat
2,3,3,1,cat
3,1,-1,1,cont
3,2,2,1,cat
3,3,3,1,cat
4,1,-1,1,cont
4,2,2,1,cat
4,3,3,1,cat
5,1,-1,1,cont
5,2,2,1,cat
5,3,3,1,cat
6,1,-1,1,cont
6,2,2,1,cat
6,3,3,1,cat
7,1,-1,1,cont
7,2,2,1,cat
7,3,3,1,cat
8,1,-1,1,cont
8,2,2,1,cat
8,3,3,1,cat
9,1,-1,1,cont
9,2,2,1,cat
9,3,3,1,cat
10,1,1,1,cont
10,2,2,1,cat
10,3,3,0,cat
11,1,1,1,cont
11,2,2,1,cat
11,3,3,0,cat
12,1,1,1,cont
12,2,2,1,cat
12,3,3,0,cat
13,1,1,1,cont
13,2,2,1,cat
13,3,3,0,cat
14,1,1,1,cont
14,2,2,1,cat
14,3,3,0,cat
15,1,1,1,cont
15,2,2,1,cat
15,3,3,0,cat